Name,Longitude location of institution,Latitude location of institution,search_url,image,url
Trinity College,-72.688684,41.746746,http://api.duckduckgo.com/?q=Trinity+College%20wikipedia&format=json,,
Wesleyan University,-72.656755,41.55678,http://api.duckduckgo.com/?q=Wesleyan+University%20wikipedia&format=json,,
Western Connecticut State University,-73.444264,41.400365,http://api.duckduckgo.com/?q=Western+Connecticut+State+University%20wikipedia&format=json,,
Yale University,-72.926688,41.311158,http://api.duckduckgo.com/?q=Yale+University%20wikipedia&format=json,,
Delaware State University,-75.54053,39.187173,http://api.duckduckgo.com/?q=Delaware+State+University%20wikipedia&format=json,,
University of Delaware,-75.7536,39.679791,http://api.duckduckgo.com/?q=University+of+Delaware%20wikipedia&format=json,,
Wesley College,-75.527377,39.16325,http://api.duckduckgo.com/?q=Wesley+College%20wikipedia&format=json,,
Wilmington University,-75.586998,39.682299,http://api.duckduckgo.com/?q=Wilmington+University%20wikipedia&format=json,,
American University,-77.090106,38.937802,http://api.duckduckgo.com/?q=American+University%20wikipedia&format=json,,
Catholic University of America,-76.998961,38.935796,http://api.duckduckgo.com/?q=Catholic+University+of+America%20wikipedia&format=json,,
University of the District of Columbia,-77.066247,38.943819,http://api.duckduckgo.com/?q=University+of+the+District+of+Columbia%20wikipedia&format=json,,
Gallaudet University,-76.993675,38.907371,http://api.duckduckgo.com/?q=Gallaudet+University%20wikipedia&format=json,,
George Washington University,-77.047871,38.89865,http://api.duckduckgo.com/?q=George+Washington+University%20wikipedia&format=json,,
Georgetown University,-77.073463,38.908809,http://api.duckduckgo.com/?q=Georgetown+University%20wikipedia&format=json,,
Howard University,-77.019478,38.920739,http://api.duckduckgo.com/?q=Howard+University%20wikipedia&format=json,,
Trinity Washington University,-77.004261,38.927398,http://api.duckduckgo.com/?q=Trinity+Washington+University%20wikipedia&format=json,,
Barry University,-80.196136,25.878865,http://api.duckduckgo.com/?q=Barry+University%20wikipedia&format=json,,
Bethune-Cookman University,-81.031429,29.210193,http://api.duckduckgo.com/?q=Bethune-Cookman+University%20wikipedia&format=json,,
Lynn University,-80.123851,26.382777,http://api.duckduckgo.com/?q=Lynn+University%20wikipedia&format=json,,
Carlos Albizu University-Miami,-80.355002,25.795162,http://api.duckduckgo.com/?q=Carlos+Albizu+University-Miami%20wikipedia&format=json,,
University of Central Florida,-81.198805,28.60106,http://api.duckduckgo.com/?q=University+of+Central+Florida%20wikipedia&format=json,,
Clearwater Christian College,-82.697305,27.963556,http://api.duckduckgo.com/?q=Clearwater+Christian+College%20wikipedia&format=json,,
Eckerd College,-82.685992,27.718996,http://api.duckduckgo.com/?q=Eckerd+College%20wikipedia&format=json,,
Edward Waters College,-81.684817,30.34513,http://api.duckduckgo.com/?q=Edward+Waters+College%20wikipedia&format=json,,
Embry-Riddle Aeronautical University-Daytona Beach,-81.0495,29.189244,http://api.duckduckgo.com/?q=Embry-Riddle+Aeronautical+University-Daytona+Beach%20wikipedia&format=json,,
Florida Agricultural and Mechanical University,-84.285664,30.428599,http://api.duckduckgo.com/?q=Florida+Agricultural+and+Mechanical+University%20wikipedia&format=json,,
